id,email,username,passwordHash,role,createdAt,updatedAt
9321b28d-ded1-44,tony88@example.net,jenkinsjanet,583c2660412a99fa53c4dde5cb62aeb2c732d561fc6e82f533c888c1a521bf0f,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
d304dcf6-e9f9-40,eileen20@example.net,reneeedwards,e8607f9fa989d1eea28fa18aa1b978e3cf288d17cd1f8376612fa81b68a52723,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
8948198b-4bc1-44,courtney13@example.com,danawhite,95081fec18f7d00e019cd12d18a5b75dfb7c1aa1dee1855c638de634bf36baf8,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
022e454e-291e-4c,dakota71@example.org,boydmichelle,0f5baf608f23bff4286b2b7fbe0dfbfb5c52fb8e24e54d82a7660c2c0c9416d7,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
570da7e3-009c-45,ethan81@example.com,iwright,e9098678f4975dc2f83f098f4d6e9cf43f9235eb2433b05b753d4edea4b87777,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
8166738c-bb8f-47,valdezdanny@example.net,jonwilliams,430e1412efd06366443d540f53615385a9e1ed9dc6f29833939525296dba9417,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
aaea0da2-a79a-41,ellistravis@example.org,daltonstephanie,0c187186bc70af93a93e6bd358fe7bc9ef350ecfb6c5a21c09f901d9ec7d9537,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
2a1aae79-09ba-42,pageeric@example.org,ccarlson,a568acd3e278f657f699cc53905bcf729f8b23fcc76c1c6f9d36c1b4ed5f5d7f,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
6c0e0c70-0395-4d,adriangould@example.net,danamorton,b1d116b2b27ae3260fa8e019d5bc0f25583ac7ac6a4d86da98fe3f0459626b31,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
ed7a0ae8-e65b-46,leewillie@example.net,annetterichmond,6dbf0398015bc2fdf2ca0c44b1b941bd3adf09c74da24e736dd467f12a7d0271,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
9deed97e-df3e-40,brandondrake@example.net,nancy10,8e83f4e5ab792141deb186479712d460acbae039fb5f7f1a7fdfb84ffd79df41,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
c4e73f2c-16ec-4c,karen21@example.org,andreajohnson,eab61c93f205870d19b0afce1c0396c52c0c4486dbfb73a3d4e85d4aab6a57bc,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
37aa5982-52dc-48,browndebra@example.net,andrew80,245d7f5998d62b91700bfb8e8a3853f1a234d9663bfa22d3906b96d6f38917f7,customer,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
